Index,F1_25,F2_25,F3_25,F1_50,F2_50,F3_50,F1_75,F2_75,F3_75
641,795.53,1571.88,2362.34,815.47,1506.25,2344.25,725.77,1451.13,2278.29
642,795.25,1572.03,2362.34,815.34,1506.33,2344.26,725.56,1451.14,2278.28
643,794.98,1572.19,2362.34,815.21,1506.41,2344.27,725.34,1451.15,2278.26
644,794.70,1572.35,2362.33,815.08,1506.48,2344.29,725.12,1451.16,2278.25
645,794.43,1572.50,2362.33,814.94,1506.56,2344.30,724.90,1451.17,2278.24
646,794.15,1572.66,2362.33,814.81,1506.64,2344.31,724.68,1451.18,2278.23
647,793.87,1572.81,2362.32,814.67,1506.71,2344.32,724.46,1451.19,2278.22
648,793.59,1572.97,2362.32,814.54,1506.79,2344.34,724.24,1451.20,2278.21
649,793.31,1573.12,2362.32,814.40,1506.87,2344.35,724.02,1451.21,2278.19
650,793.03,1573.28,2362.31,814.26,1506.95,2344.36,723.80,1451.22,2278.18
651,792.75,1573.44,2362.31,814.13,1507.02,2344.38,723.58,1451.23,2278.17
652,792.47,1573.59,2362.31,813.99,1507.10,2344.39,723.37,1451.24,2278.16
653,792.19,1573.75,2362.31,813.85,1507.18,2344.40,723.15,1451.25,2278.14
654,791.91,1573.90,2362.30,813.71,1507.26,2344.41,722.93,1451.26,2278.13
655,791.62,1574.06,2362.30,813.56,1507.33,2344.43,722.71,1451.27,2278.12
656,791.34,1574.22,2362.30,813.42,1507.41,2344.44,722.49,1451.28,2278.11
657,791.05,1574.37,2362.29,813.28,1507.49,2344.45,722.28,1451.29,2278.09
658,790.76,1574.53,2362.29,813.13,1507.57,2344.46,722.06,1451.30,2278.08
659,790.47,1574.68,2362.29,812.99,1507.65,2344.48,721.84,1451.31,2278.07
660,790.19,1574.84,2362.29,812.84,1507.73,2344.49,721.63,1451.32,2278.05
661,789.90,1575.00,2362.28,812.70,1507.80,2344.50,721.41,1451.32,2278.04
662,789.61,1575.15,2362.28,812.55,1507.88,2344.52,721.19,1451.33,2278.03
663,789.32,1575.31,2362.28,812.40,1507.96,2344.53,720.98,1451.34,2278.02
664,789.02,1575.47,2362.28,812.25,1508.04,2344.54,720.76,1451.35,2278.00
665,788.73,1575.62,2362.28,812.10,1508.12,2344.55,720.54,1451.36,2277.99
666,788.44,1575.78,2362.28,811.95,1508.20,2344.57,720.33,1451.37,2277.98
667,788.14,1575.94,2362.28,811.80,1508.28,2344.58,720.11,1451.38,2277.96
668,787.85,1576.09,2362.27,811.64,1508.36,2344.59,719.90,1451.39,2277.95
669,787.55,1576.25,2362.27,811.49,1508.44,2344.60,719.68,1451.40,2277.94
670,787.26,1576.41,2362.27,811.34,1508.52,2344.61,719.46,1451.41,2277.92
671,786.96,1576.57,2362.27,811.18,1508.60,2344.63,719.25,1451.41,2277.91
672,786.66,1576.72,2362.27,811.02,1508.68,2344.64,719.03,1451.42,2277.90
673,786.36,1576.88,2362.27,810.87,1508.76,2344.65,718.82,1451.43,2277.88
674,786.06,1577.04,2362.27,810.71,1508.84,2344.66,718.61,1451.44,2277.87
675,785.76,1577.19,2362.27,810.55,1508.92,2344.68,718.39,1451.45,2277.86
676,785.46,1577.35,2362.27,810.39,1509.00,2344.69,718.18,1451.46,2277.84
677,785.16,1577.51,2362.28,810.23,1509.08,2344.70,717.96,1451.47,2277.83
678,784.86,1577.67,2362.28,810.07,1509.17,2344.71,717.75,1451.48,2277.81
679,784.55,1577.82,2362.28,809.91,1509.25,2344.72,717.54,1451.48,2277.80
680,784.25,1577.98,2362.28,809.74,1509.33,2344.74,717.32,1451.49,2277.79
681,783.94,1578.14,2362.28,809.58,1509.41,2344.75,717.11,1451.50,2277.77
682,783.64,1578.30,2362.28,809.41,1509.49,2344.76,716.90,1451.51,2277.76
683,783.33,1578.46,2362.29,809.25,1509.57,2344.77,716.69,1451.52,2277.75
684,783.02,1578.61,2362.29,809.08,1509.66,2344.78,716.47,1451.53,2277.73
685,782.72,1578.77,2362.29,808.91,1509.74,2344.79,716.26,1451.54,2277.72
686,782.41,1578.93,2362.30,808.75,1509.82,2344.81,716.05,1451.55,2277.71
687,782.10,1579.09,2362.30,808.58,1509.90,2344.82,715.84,1451.56,2277.69
688,781.79,1579.25,2362.30,808.41,1509.99,2344.83,715.63,1451.56,2277.68
689,781.48,1579.41,2362.31,808.24,1510.07,2344.84,715.42,1451.57,2277.67
690,781.17,1579.56,2362.31,808.06,1510.15,2344.85,715.21,1451.58,2277.65
691,780.85,1579.72,2362.32,807.89,1510.24,2344.86,715.00,1451.59,2277.64
692,780.54,1579.88,2362.32,807.72,1510.32,2344.87,714.79,1451.60,2277.63
693,780.23,1580.04,2362.33,807.54,1510.41,2344.89,714.58,1451.61,2277.62
694,779.91,1580.20,2362.34,807.37,1510.49,2344.90,714.37,1451.62,2277.60
695,779.60,1580.36,2362.34,807.19,1510.57,2344.91,714.16,1451.63,2277.59
696,779.28,1580.52,2362.35,807.01,1510.66,2344.92,713.95,1451.64,2277.58
697,778.97,1580.68,2362.36,806.84,1510.74,2344.93,713.74,1451.65,2277.56
698,778.65,1580.84,2362.36,806.66,1510.83,2344.94,713.53,1451.66,2277.55
699,778.34,1581.00,2362.37,806.48,1510.91,2344.95,713.32,1451.67,2277.54
700,778.02,1581.16,2362.38,806.30,1511.00,2344.96,713.12,1451.68,2277.53
701,777.70,1581.32,2362.39,806.12,1511.08,2344.97,712.91,1451.68,2277.51
702,777.38,1581.47,2362.40,805.93,1511.17,2344.98,712.70,1451.69,2277.50
703,777.06,1581.63,2362.40,805.75,1511.26,2344.99,712.50,1451.70,2277.49
704,776.74,1581.79,2362.41,805.57,1511.34,2345.00,712.29,1451.71,2277.48
705,776.42,1581.95,2362.42,805.38,1511.43,2345.01,712.08,1451.72,2277.46
706,776.10,1582.11,2362.43,805.20,1511.51,2345.02,711.88,1451.73,2277.45
707,775.78,1582.27,2362.44,805.01,1511.60,2345.04,711.67,1451.74,2277.44
708,775.45,1582.43,2362.46,804.82,1511.69,2345.05,711.47,1451.75,2277.43
709,775.13,1582.60,2362.47,804.63,1511.78,2345.06,711.26,1451.76,2277.42
710,774.81,1582.76,2362.48,804.44,1511.86,2345.07,711.06,1451.77,2277.41
711,774.48,1582.92,2362.49,804.25,1511.95,2345.08,710.85,1451.78,2277.39
712,774.16,1583.08,2362.50,804.06,1512.04,2345.09,710.65,1451.79,2277.38
